page	start	end	notes
356	ⲥⲉⲙⲓ	ⲥⲉⲙⲛⲓ	
357	ⲥⲉⲙⲛⲓ	ⲥⲉⲙⲛⲓ	
358	ⲥⲉⲙⲛⲓ	ⲥⲉⲙⲛⲓ	
359	ⲥⲉⲙⲛⲟⲥ	ⲥⲉⲛϯ	
360	ⲥⲉⲡ	ⲥⲉⲣⲙⲏ	
361	ⲥⲉⲣⲟϫⲓ	ⲥⲉϣϥ	
362	ⲥⲉϥ	ⲥⲏⲃⲓ	
363	ⲥⲏⲃⲓ	ⲥⲏⲟⲩ	
364	ⲥⲏⲟⲩ	ⲥⲏⲧ	
365	ⲥⲏⲩ	ⲥⲑⲏⲙ	
366	ⲥⲑⲟ	ⲥⲓ	
367	ⲥⲓⲃ	ⲥⲓⲛⲓ	
368	ⲥⲓⲛⲓ	ⲥⲓⲟⲩ	
369	ⲥⲓⲟⲩ	ⲥⲓϣϥ	
370	ⲥⲓϥⲓ	ⲥⲓϥⲓ	
371	ⲥⲓϯ	ⲥⲕⲉⲣⲕⲉⲣ	
372	ⲥⲕⲉⲣⲕⲉⲣ	ⲥⲗⲁϫⲗⲉϫ	
373	ⲥⲗⲁϯ	ⲥⲙⲁⲙⲁⲧ	
374	ⲥⲙⲁⲣⲱⲟⲩⲧ	ⲥⲙⲏ	
375	ⲥⲙⲏ	ⲥⲙⲟⲧ	
376	ⲥⲙⲟⲧ	ⲥⲙⲟⲧ	
377	ⲥⲙⲟⲩ	ⲥⲛⲁⲩ	
378	ⲥⲛⲁⲩ	ⲥⲛⲟⲟⲩϩ	
379	ⲥⲛⲟⲩϥ	ⲥⲟ	
380	ⲥⲟⲃⲕ	ⲥⲟⲃϯ	
381	ⲥⲟⲃϯ	ⲥⲟⲑⲛⲉϥ	
382	ⲥⲟⲓ	ⲥⲟⲗⲥⲉⲗ	
383	ⲥⲟⲗⲥⲉⲗ	ⲥⲟⲗⲥⲉⲗ	
384	ⲥⲟⲗϥ	ⲥⲟⲙⲥ	
385	ⲥⲟⲙⲧ	ⲥⲟⲛⲧ	
386	ⲥⲟⲛⲧϥ	ⲥⲟⲟⲩϩⲉ	
387	ⲥⲟⲟⲩϩⲥ	ⲥⲟⲡ	
388	ⲥⲟⲡ	ⲥⲟⲡⲥ	
389	ⲥⲟⲡⲥⲉⲡ	ⲥⲟⲣⲉⲙ	
390	ⲥⲟⲣⲉⲙ	ⲥⲟⲧⲉⲣ	
391	ⲥⲟⲧⲡ	ⲥⲟⲩⲃⲏⲧ	
392	ⲥⲟⲩⲃⲱⲱⲛ	ⲥⲟⲩⲛϩⲱⲣ	
393	ⲥⲟⲩⲟ	ⲥⲟⲩⲧⲉⲛ	
394	ⲥⲟⲫⲓⲁ	ⲥⲟϩⲓ	
395	ⲥⲟϫ	ⲥⲟϭⲛⲓ	
396	ⲥⲟϭⲛⲓ	ⲥⲟϭⲛⲓ	
397	ⲥⲡ	ⲥⲣⲉⲙⲣⲱⲙ	
398	ⲥⲣⲓⲧ	ⲥⲣⲱϥⲧ	
399	ⲥⲣϥⲉ	ⲥⲧⲟ	
400	ⲥⲧⲟⲓ	ⲥⲭⲁⲓ	
401	ⲥⲭⲁⲣⲁ	ⲥⲱⲃⲓ	
402	ⲥⲱⲃⲓ	ⲥⲱⲃϩ	
403	ⲥⲱⲓ	ⲥⲱⲕ	
404	ⲥⲱⲕ	ⲥⲱⲕ	
405	ⲥⲱⲕ	ⲥⲱⲕ	
406	ⲥⲱⲕ	ⲥⲱⲕ	
407	ⲥⲱⲕⲓ	ⲥⲱⲗⲡ	
408	ⲥⲱⲗϥ	ⲥⲱⲙⲧ	
409	ⲥⲱⲛⲓ	ⲥⲱⲛⲧ	
410	ⲥⲱⲛϩ	ⲥⲱⲟⲩⲛ	
411	ⲥⲱⲟⲩⲛ	ⲥⲱⲟⲩⲛⲟⲩ	
412	ⲥⲱⲟⲩⲧⲉⲛ	ⲥⲱⲟⲩⲧⲉⲛ	
413	ⲥⲱⲟⲩϩ	ⲥⲱⲟⲩϩⲓ	
414	ⲥⲱⲟⲩϩⲓ	ⲥⲱⲣ	
415	ⲥⲱⲣ	ⲥⲱⲣⲉⲙ	
416	ⲥⲱⲣⲉⲙ	ⲥⲱⲧ	
417	ⲥⲱⲧ	ⲥⲱⲧⲉⲙ	
