page	start	end
815	ϭⲱⲗϫ	ϭⲟⲙ
816	ϭⲟⲙ	ϭⲟⲙ
817	ϭⲟⲙ	ϭⲱⲙ
818	ϭⲁⲓⲙⲉ	ϭⲟⲙϭⲉⲙ
819	ϭⲓⲛ	ϭⲟⲛ
820	ϭⲉⲛⲁ	ϭⲓⲛⲉ
821	ϭⲓⲛⲉ	ϭⲛⲟⲛ
822	ϭⲁⲛⲛⲁ	ϭⲱⲛⲧ
823	ϭⲱⲛⲧ	ϭⲛⲁⲩϩ
824	ϭⲟⲛϥ	ϭⲟⲡ
825	ϭⲟⲡ	ϭⲱⲡⲉ
826	ϭⲱⲡⲉ	ϭⲱⲡⲉ
827	ϭⲁⲡⲗⲏⲩⲉ	ϭⲓⲣⲁ
828	ϭⲱⲣⲉ	ϭⲣⲟⲟⲙⲡⲉ
